"ISO3","Name","Value","sign"
"SUR","Suriname",0.000551750094492362,0
"SWZ","Swaziland",-0.000568359674684518,0
"SWE","Sweden",-0.00218563604487647,0
"CHE","Switzerland",-0.00554972322651831,-1
"SYR","Syrian Arab Republic",-0.0121976857580258,-1
"TJK","Tajikistan",0.00504620141792873,1
"TZA","Tanzania, United Republic of",-0.00297832007908673,0
"THA","Thailand",0.00322175989064529,0
"TLS","Timor-Leste",-0.00288810446188739,0
"TGO","Togo",0.00631916115979135,1
"TON","Tonga",-0.000175938712721338,0
"TTO","Trinidad and Tobago",-0.00312226447575437,-1
"TUN","Tunisia",-0.00193601682206284,0
"TUR","Turkey",-0.00499012250738168,0
"TKM","Turkmenistan",-0.0008591548436271,0
"TUV","Tuvalu",0.0114961465767123,1
"UGA","Uganda",0.00210456155579367,0
"UKR","Ukraine",0.0105853444413531,1
"ARE","United Arab Emirates",0.00514815708116123,1
"GBR","United Kingdom",-0.000483368661000807,0
"USA","United States",-0.000183258242780977,0
"URY","Uruguay",-0.000243990515304129,0
"UZB","Uzbekistan",0.0128829120622026,1
"VUT","Vanuatu",-0.00281273785729031,0
"VEN","Venezuela, Bolivarian Republic o",-0.0106673370475196,-1
"VNM","Viet Nam",0.00828181434335238,1
"YEM","Yemen",-0.0117397075854073,-1
"ZMB","Zambia",-0.00461531333065695,-1
"ZWE","Zimbabwe",0.00114546299246199,0
