"country","iso3","income","region","EG.FEC.RNEW.ZS","SL.TLF.CACT.FE.ZS","SH.STA.SMSS.ZS","SH.H2O.SMDW.ZS","HD.HCI.OVRL","SE.SEC.ENRR","SH.IMM.IDPT","account.t.d.7","NY.ADJ.SVNG.GN.ZS","ER.H2O.INTR.PC","gov_effect","cont_corr","reg_qua","sdg9_intuse","water_efficiency_FAO","water_efficiency_ceo","WWT.new","BHV.new","FSH.new","GIB.new","wbl","agri_value","waste_managed","lpi_score","conf_gov","trust_ppl","agri_land","LGBT_acc","wat_qua","food_sec","gini_ghg","EN.POP.SLUM.UR.ZS","SI.POV.GINI","EN.ATM.PM25.MC.M3","EN.ATM.CO2E.PC","pov_1016","sec_aparat","ref_idp","risk_to_assets","risk_wellbeing","Tenure.insecurity","waste_rate","forest_loss","pop_dis","rain_exp"
"Czech Republic","CZE","High income","Europe & Central Asia",0.192504501868808,0.723312372364798,0.93870397866987,0.977202254722743,0.827411167512691,0.629784441150602,0.964912280701754,0.694682256475938,0.781445964317085,0.0024060270887031,0.720295049434247,0.574157852018957,0.792890068784811,0.784367368858356,0.0906087526030735,0.138453773453726,0.607607607607608,0.355769230769231,NA,0.5814696485623,0.915875169606513,0.193794237477695,NA,0.73972602739726,0.146711635750422,0.264623955431755,0.0260509100704677,0.602739726027397,0.250159711570714,0.745551601423487,0.111072755000249,NA,0.979942693409742,0.891236993541327,0.778608753107893,1,0.761723286018603,0.788888888888889,0.962482305887988,0.964572653778377,NA,0.948179332236023,0.886868295808697,0.955836202311702,0.936349106821799
"Denmark","DNK","High income","Europe & Central Asia",0.430616785750569,0.804124375856187,0.942921156762932,0.964864062847288,0.813874788494078,0.819142227330582,0.964912280701754,1,0.856045681847413,0.00204746189183083,0.923124930824549,0.983891787852447,0.871500017215808,0.970605222360702,0.310687724234915,0.47640321220935,1,0.271153846153846,0.146627565982405,0.816826411075612,1,0.551177622155827,0.999999999999067,0.876712328767123,0.509274873524452,1,0.0569391569522969,0.863013698630137,0.616863017287119,0.886120996441281,0.493308076975915,NA,0.871060171919771,0.955596172053076,0.888490256615348,0.997980168931326,0.902523162462156,0.922222222222222,0.999214419139582,0.999341999965674,0.931818181818182,0.594891578451023,0.875548997887726,NA,NA
"Estonia","EST","High income","Europe & Central Asia",0.356704457064096,0.789864323681143,0.970801933625478,0.928260975474975,0.768189509306261,0.728809661709742,0.87719298245614,0.960621266039971,0.827371449370136,0.0186200685408259,0.777918753220654,0.824022596043181,0.853080297487079,0.879441894397666,0.00892394914677591,0.0151243570484992,0.695695695695696,0.578846153846154,0.193548387096774,0.372736954206603,0.966078697421981,0.197764902978436,0.901602228200435,0.593607305936073,0.527824620573356,0.442896935933147,0.0138805082887283,0.452054794520548,0.77226768824948,NA,0.0752751019960681,NA,0.822349570200573,0.990723715888854,0.700445115618257,0.990818949687844,0.799418187877128,0.866666666666667,0.94765214030872,0.934177010866116,0.840909090909091,0.916173455050245,0.833257892221891,0.999902734003083,0.969769428461281
"Faroe Islands","FRO","High income","Europe & Central Asia",0.0975413580025535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999999999895327,NA,NA,NA,0.0133100481033136,NA,NA,NA,NA,NA,NA,NA,0.687528318764132,NA,NA,NA,NA,NA,NA,0.252341947463559,NA,NA,NA
"Finland","FIN","High income","Europe & Central Asia",0.56128050152815,0.764632700964714,0.991213590224457,0.996052313704172,0.88155668358714,0.992129492357138,0.859649122807018,0.994418472204706,0.781633178080512,0.0377295884363158,0.94717537250582,1,0.904052071404419,0.873027935678025,0.092534119949702,NA,1,0.873076923076923,0.140762463343109,0.53248136315229,0.966078697421981,0.567945136287835,0.999999999984247,0.876712328767123,0.551433389544688,0.923398328690808,0.0203982028275293,0.794520547945206,0.77975580882459,0.919928825622776,0.297372587482562,NA,0.908309455587393,1,0.813950848057907,0.999265515975027,0.77255404574503,0.933333333333333,NA,NA,1,0.81133102669306,0.835683095275047,0.99969851340666,0.853380830839891
"France","FRA","High income","Europe & Central Asia",0.175247524115605,0.689306541362229,0.871357706519397,0.976905787572365,0.798646362098139,0.642482721929156,0.947368421052632,0.932075171381939,0.773021358770892,0.00580829428827787,0.839571199562533,0.776813960644604,0.766904352140594,0.802433859217152,0.0701482133516428,0.104158119983397,0.87987987987988,0.257692307692308,0.13049853372434,0.538871139510117,1,0.457604758990372,0.999999999957994,0.849315068493151,0.367622259696459,0.337047353760446,0.0299553487303491,0.753424657534246,0.53105755455541,0.875444839857651,0.435059811259146,NA,0.787965616045845,0.936577824229159,NA,0.999081894968784,0.664246448480759,0.833333333333333,0.962536782973331,0.964640541826222,0.681818181818182,0.8103774325173,0.934689207369683,0.998196779735418,0.814547963568266
"Germany","DEU","High income","Europe & Central Asia",0.184425678518161,0.756795797871483,0.969392152804707,0.997847915950956,0.849407783417936,0.597329150294913,0.894736842105263,0.980470365966416,0.816349615778547,0.00254450776402309,0.869289303969038,0.933745766650595,0.899091581812814,0.841890344610957,0.108863666038502,0.159200859871673,0.96996996996997,0.292307692307692,0.158357771260997,0.490947816826411,0.966078697421981,0.291559458947628,0.99999999996313,1,0.500843170320405,0.575208913649025,0.0479473532531828,0.794520547945206,0.291342074881942,0.895017793594306,0.300395623485468,NA,0.779369627507163,0.93430024018306,0.800819989515707,1,0.794215565197884,0.633333333333333,0.978933695646985,0.980237515751435,0.863636363636364,0.718553720773461,0.942631067901439,0.999095999369233,0.911516802536851
"Gibraltar","GIB","High income","Europe & Central Asia",0,NA,NA,0.999999976181546,NA,0.564908282251718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.998717397499646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.535386798692646,NA,NA,NA,NA,NA,NA,0.80819946838112,1,NA,NA
"Greece","GRC","High income","Europe & Central Asia",0.222901685352967,0.590254602264117,0.893701697975042,0.999999976181546,0.656514382402707,0.647583351119878,1,0.807772468392554,0.670141805567979,0.0102545138528993,0.595543565342296,0.432162626384839,0.605108393633236,0.701583731039305,0.012143894682876,0.017686362303459,0.816816816816817,0.130769230769231,0.183284457478006,0.24174653887114,0.966078697421981,0.162643788595711,0.999999998917887,0.54337899543379,0.0674536256323777,0.0877437325905292,0.0277954706005932,0.465753424657534,0.540043305816548,0.750889679715303,0.191953626059327,NA,0.707736389684814,0.889670824766642,0.881971464636159,0.984024972456849,0.615649130652244,0.466666666666667,0.573540023874591,0.516384683595287,0.727272727272727,0.809223709694849,0.953068198191418,0.997562633519256,0.847400196457112
"Greenland","GRL","High income","Europe & Central Asia",0.201660121780984,NA,0.942921199200819,0.965004072115189,NA,NA,NA,NA,NA,NA,0.70232293007571,0.74202487307861,0.81312728963101,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999999999915645,NA,NA,NA,0.000107029407662165,NA,NA,NA,NA,NA,NA,0.938844546934095,0.794646080500396,NA,NA,NA,NA,NA,NA,0.528721285856277,NA,NA,0.648477123022421
"Hong Kong SAR, China","HKG","High income","East Asia & Pacific",0.0110708411408294,0.741767436805667,0.908993476662748,0.999999976181546,0.895093062605753,0.667330571222819,NA,0.920679935661565,NA,NA,0.929956090875136,0.866420654714077,1,NA,NA,NA,NA,NA,NA,NA,0.8561736770692,NA,0.993172442487587,0.894977168949772,0.777403035413153,0.477715877437326,0.172749802617987,0.671232876712329,NA,NA,0.359733355759077,NA,NA,NA,0.877841200945276,NA,NA,NA,NA,NA,NA,0.604265649784727,0.993417277771343,0.998417396244504,NA
"Hungary","HUN","High income","Europe & Central Asia",0.201991754234851,0.652596183343373,0.952195987142297,0.887799754873169,0.693739424703892,0.640982908409085,1,0.663743262298501,0.799061370057223,0.00117111817521731,0.627385843126047,0.461912755840841,0.640175961653463,0.764426340801086,0.0193058812112014,0.0325343497845957,0.537537537537537,0.128846153846154,NA,0.494142705005325,0.957937584803257,0.163853733877052,NA,0.643835616438356,0.48397976391231,0.34958217270195,0.0241624346306718,0.452054794520548,0.323947081485999,0.738434163701068,0.154485047568469,NA,0.816618911174785,0.892783733222033,0.912710149190215,0.994307748806464,0.797051705884501,0.488888888888889,0.792645782805927,0.805477794667041,0.886363636363636,0.903236302855215,0.900971537519731,0.993557667417483,0.569190427215397
"Iceland","ISL","High income","Europe & Central Asia",1,1,0.798197977895034,0.999999970055542,0.756345177664975,0.737972761752177,0.859649122807018,NA,0.815943878270539,1,0.836394209579978,0.908092268562568,0.823397414741374,0.982369212998146,0.0478743672215624,0.0829902871514022,0.155155155155155,0.978846153846154,0.101173020527859,0.301384451544196,1,1,0.999999999750018,0.589041095890411,0.369308600337268,0.838440111420613,0.00139150262197348,1,0.935313649921831,NA,0.184770027129727,NA,0.925501432664756,0.993397292301546,0.872358977121483,0.999571550985433,0.967507720820718,0.922222222222222,NA,NA,NA,0,NA,0.998600890308858,0.805425516294336
